projid_geoid	project_id	proj_cnt	sector_value	year1	year2	year3	commit	comm_p_loc	geoname_id	precision_code	place_name	latitude	longitude	location_type_code	location_type_name	geoname_adm_code	geonames_adm_name	geonames_retrieval_time
87292191431_1644865	87292191431	4	"[{""sector"":""110 - EDUCATION"",""subsector"":"""",""subsubsector"":""""}]"	2010			176594.15	44148.5375	1644865	4	Ermera	-8.83028	125.38778	ADM1	first-order administrative division	TL|ER	East Timor|Ermera	2013-11-02T00:00:00+0000
87292411772_1644865	87292411772	4	"[{""sector"":""110 - EDUCATION"",""subsector"":"""",""subsubsector"":""""}]"	2010			227629.04	56907.26	1644865	4	Ermera	-8.83028	125.38778	ADM1	first-order administrative division	TL|ER	East Timor|Ermera	2013-11-02T00:00:00+0000
87292411774_1644865	87292411774	1	"[{""sector"":""110 - EDUCATION"",""subsector"":"""",""subsubsector"":""""}]"	2010			221742.08	221742.08	1644865	4	Ermera	-8.83028	125.38778	ADM1	first-order administrative division	TL|ER	East Timor|Ermera	2013-11-02T00:00:00+0000
87292463792_1651815	87292463792	13	"[{""sector"":""110 - EDUCATION"",""subsector"":""114 - Post-secondary education"",""subsubsector"":""11420 - Higher education""}]"	2012			6556048	504311.384615385	1651815	4	Aileu	-8.69167	125.6375	ADM1	first-order administrative division	TL|AL	East Timor|Aileu	2014-07-29T00:00:00+0000
87292611854_1651815	87292611854	13	"[{""sector"":""110 - EDUCATION"",""subsector"":"""",""subsubsector"":""""}]"	2010			140360	10796.9230769231	1651815	4	Aileu	-8.69167	125.6375	ADM1	first-order administrative division	TL|AL	East Timor|Aileu	2014-07-29T00:00:00+0000
87292463792_1651809	87292463792	13	"[{""sector"":""110 - EDUCATION"",""subsector"":""114 - Post-secondary education"",""subsubsector"":""11420 - Higher education""}]"	2012			6556048	504311.384615385	1651809	4	Ainaro	-9.025	125.525	ADM1	first-order administrative division	TL|AN	East Timor|Ainaro	2014-07-29T00:00:00+0000
87292611854_1651809	87292611854	13	"[{""sector"":""110 - EDUCATION"",""subsector"":"""",""subsubsector"":""""}]"	2010			140360	10796.9230769231	1651809	4	Ainaro	-9.025	125.525	ADM1	first-order administrative division	TL|AN	East Timor|Ainaro	2014-07-29T00:00:00+0000
87292191431_1649538	87292191431	4	"[{""sector"":""110 - EDUCATION"",""subsector"":"""",""subsubsector"":""""}]"	2010			176594.15	44148.5375	1649538	4	Baucau	-8.54167	126.475	ADM1	first-order administrative division	TL|BA	East Timor|Baucau	2014-07-29T00:00:00+0000
87292361446_1649538	87292361446	3	"[{""sector"":""110 - EDUCATION"",""subsector"":"""",""subsubsector"":""""}]"	2012			13000000	4333333.33333333	1649538	4	Baucau	-8.54167	126.475	ADM1	first-order administrative division	TL|BA	East Timor|Baucau	2014-07-29T00:00:00+0000
87292411772_1649538	87292411772	4	"[{""sector"":""110 - EDUCATION"",""subsector"":"""",""subsubsector"":""""}]"	2010			227629.04	56907.26	1649538	4	Baucau	-8.54167	126.475	ADM1	first-order administrative division	TL|BA	East Timor|Baucau	2014-07-29T00:00:00+0000
