ADM2_CODE,N,9,0	ADM2_NAME,C,100	STATUS,C,37	DISP_AREA,C,3	STR_YEAR,N,9,0	EXP_YEAR,N,9,0	ADM0_CODE,N,9,0	ADM0_NAME,C,100	ADM1_CODE,N,9,0	ADM1_NAME,C,100	Shape_Leng,N,19,11	Shape_Area,N,19,11	sub_d,C,254	tot_pop,N,14,6	tot_femal,N,14,6	tot_male,N,14,6	b_tot_ill,N,14,6	b_male_il,N,14,6	b_female_,N,14,6	e_tot_ill,N,14,6	e_male_il,N,14,6	e_female_,N,14,6	t_tot_ill,N,14,6	t_male_il,N,14,6	t_female_,N,14,6	p_tot_ill,N,14,6	p_male_il,N,14,6	p_female_,N,14,6	edu_aidcou,N,24,15	edu_aidsum,N,24,15	edu_aidmea,N,24,15	projid_geo,C,254	comm_p_loc,N,24,15	COUNT,N,10,0	p_totill_i,N,10,0	t_totill_i,N,10,0	p_prop_ill,N,8,5	t_prop_ill,N,8,5	Amt_p_tota,N,10,2	prop_aid,N,10,5	P_prop_dif,N,10,5	T_prop_dif,N,10,5	dots_p_ill,N,10,0	dots_t_ill,N,10,0	dots_p_100,N,10,0	dots_t_50,N,10,0	P_stdev,N,6,3	T_stdev,N,8,3
27319	Aileu vila	Member State	NO	1000	3000	242	Timor-Leste	2957	Aileu	0.94180230501	0.02576855098	Aileu vila	17638.000000	8530.000000	9108.000000	10154.000000	5087.000000	5067.000000	12491.000000	6401.000000	6090.000000	7580.000000	3751.000000	3829.000000	9083.000000	4506.000000	4577.000000	262.000000000000000	421051996.096191000000000	1607068.687390040000000	87292861561_1945078	366558.147694252000000	18	9083	7580	0.01895	0.01960	940215.06	0.00756	-0.01139	-0.01204	18	15	181	151	-0.459	-0.456
27320	Laulara	Member State	NO	1000	3000	242	Timor-Leste	2957	Aileu	0.47869737711	0.00497961899	Laulara	6132.000000	2965.000000	3167.000000	3739.000000	1835.000000	1904.000000	4933.000000	2512.000000	2421.000000	2744.000000	1289.000000	1455.000000	3206.000000	1540.000000	1666.000000	48.000000000000000	105697133.500000000000000	2202023.614583330000000	87292441820_8628951	195776.769159364000000	9	3206	2744	0.00669	0.00709	769433.68	0.00619	-0.00050	-0.00090	6	5	64	54	-0.020	-0.034
27321	Liquidoe	Member State	NO	1000	3000	242	Timor-Leste	2957	Aileu	0.68538192104	0.01240302385	Liquidoe	5424.000000	2600.000000	2824.000000	3082.000000	1544.000000	1538.000000	4014.000000	2067.000000	1947.000000	2440.000000	1219.000000	1221.000000	2954.000000	1494.000000	1460.000000	124.000000000000000	106491452.574219000000000	858802.036888861000000	87292441820_1943090	195776.769159364000000	9	2954	2440	0.00616	0.00631	769433.68	0.00619	0.00003	-0.00012	5	4	59	48	0.001	-0.005
27322	Remexio	Member State	NO	1000	3000	242	Timor-Leste	2957	Aileu	0.70513933044	0.01734980859	Remexio	8580.000000	4180.000000	4400.000000	5220.000000	2576.000000	2644.000000	6740.000000	3391.000000	3349.000000	4384.000000	2174.000000	2210.000000	5042.000000	2503.000000	2539.000000	172.000000000000000	207423285.226562000000000	1205949.332712570000000	87292441820_8629000	246969.874442207000000	13	5042	4384	0.01052	0.01133	820626.78	0.00660	-0.00392	-0.00473	10	8	100	87	-0.158	-0.179
27323	Ainaro	Member State	NO	1000	3000	242	Timor-Leste	2958	Ainaro	0.72192696911	0.01932222037	Ainaro	12317.000000	6037.000000	6280.000000	6285.000000	3087.000000	3198.000000	8416.000000	4185.000000	4231.000000	5199.000000	2512.000000	2687.000000	6230.000000	3073.000000	3157.000000	189.000000000000000	51788707.269531300000000	274014.324177414000000	87292861561_8629984	149104.767242581000000	3	6230	5199	0.01300	0.01344	722761.68	0.00581	-0.00719	-0.00763	12	10	124	103	-0.290	-0.289
27325	Hatu-Builico	Member State	NO	1000	3000	242	Timor-Leste	2958	Ainaro	0.50598965018	0.01063365353	Hatu-Builico	9647.000000	4845.000000	4802.000000	6466.000000	3050.000000	3416.000000	8022.000000	3897.000000	4125.000000	5756.000000	2678.000000	3078.000000	6481.000000	3072.000000	3409.000000	109.000000000000000	1942228.847656250000000	17818.613281250000000	87292861561_1944891	149104.767242581000000	3	6481	5756	0.01352	0.01488	722761.68	0.00581	-0.00771	-0.00907	12	11	129	115	-0.311	-0.344
27324	Hatu-Udo	Member State	NO	1000	3000	242	Timor-Leste	2958	Ainaro	0.76470340853	0.01990577551	Hatu-Udo	8236.000000	4056.000000	4180.000000	4820.000000	2386.000000	2434.000000	5845.000000	2935.000000	2910.000000	4058.000000	1968.000000	2090.000000	4644.000000	2285.000000	2359.000000	199.000000000000000	1666062.667968750000000	8372.174210898240000	87292463792_8617905	128777.076920000000000	2	4644	4058	0.00969	0.01049	702433.99	0.00565	-0.00404	-0.00484	9	8	92	81	-0.163	-0.183
27326	Maubisse	Member State	NO	1000	3000	242	Timor-Leste	2958	Ainaro	0.88826083820	0.01616908947	Maubisse	18408.000000	9065.000000	9343.000000	12828.000000	6332.000000	6496.000000	15166.000000	7592.000000	7574.000000	11428.000000	5606.000000	5822.000000	12281.000000	6044.000000	6237.000000	157.000000000000000	99238732.808593800000000	632093.839545183000000	87292861561_1944798	169432.457565161000000	4	12281	11428	0.02562	0.02954	743089.37	0.00597	-0.01965	-0.02357	24	22	245	228	-0.792	-0.894
27327	Baguia	Member State	NO	1000	3000	242	Timor-Leste	2959	Baucau	0.80809848801	0.01685993229	Baguia	8072.000000	4134.000000	3938.000000	4579.000000	2115.000000	2464.000000	6191.000000	2963.000000	3228.000000	3765.000000	1676.000000	2089.000000	4299.000000	1924.000000	2375.000000	168.000000000000000	219606423.628906000000000	1307181.093029200000000	87292441820_1946152	1089811.365776840000000	13	4299	3765	0.00897	0.00973	1663468.28	0.01337	0.00440	0.00364	8	7	85	75	0.177	0.138
27330	Laga	Member State	NO	1000	3000	242	Timor-Leste	2959	Baucau	0.72439271704	0.01629325943	Laga	12321.000000	6190.000000	6131.000000	7893.000000	3790.000000	4103.000000	10025.000000	4937.000000	5088.000000	6485.000000	3062.000000	3423.000000	7585.000000	3644.000000	3941.000000	165.000000000000000	58359332.865234400000000	353692.926455966000000	87292441820_1946056	1039366.019446780000000	12	7585	6485	0.01582	0.01676	1613022.93	0.01297	-0.00285	-0.00379	15	12	151	129	-0.115	-0.144
27331	Quelicai	Member State	NO	1000	3000	242	Timor-Leste	2959	Baucau	0.59792392308	0.01688753471	Quelicai	14400.000000	7359.000000	7041.000000	8767.000000	3991.000000	4776.000000	11266.000000	5309.000000	5957.000000	7325.000000	3273.000000	4052.000000	8311.000000	3755.000000	4556.000000	165.000000000000000	159130387.203125000000000	964426.589109848000000	87292441820_1942885	1085290.262410790000000	15	8311	7325	0.01734	0.01894	1658947.17	0.01334	-0.00400	-0.00560	16	14	166	146	-0.161	-0.212
