DistrictSub-District	_t_male	s_t_male	r_t_male	sr_t_male	srw_t_male	_p_male	s_p_male	r_p_male	sr_p_male	srw_p_male	_t_female	s_t_female	r_t_female	sr_t_female	srw_t_female	_p_female	s_p_female	r_p_female	sr_p_female	srw_p_female
AINARO	1229	11535	284	253	11304	12353	2121	4154	308	5669	1413	12264	279	196	9851	13235	1927	3655	274	4912
AINARO	136	2376	80	92	3596	2677	396	1342	127	1738	177	2510	60	68	3222	2867	290	1234	117	1529
HATU-BUILICO	277	2401	73	36	2015	2856	216	986	40	704	348	2730	69	17	1681	3245	164	854	38	544
MAUBISSE	721	4885	94	79	3564	5326	718	1228	115	1956	783	5039	117	69	3057	5603	634	1068	98	1662
HATU-UDO	95	1873	37	46	2129	1494	791	598	26	1271	105	1985	33	42	1891	1520	839	499	21	1177
AILEU	955	7478	228	143	10695	9259	784	4459	260	4737	1003	7712	250	147	9163	9580	662	4005	224	3804
AILEUVILA	401	3350	94	59	5204	4107	399	1824	147	2631	403	3426	109	66	4526	4208	369	1647	123	2183
LIQUIDOE	248	971	44	12	1549	1360	134	719	12	599	276	945	54	14	1311	1374	86	686	9	445
REMEXIO	223	1951	29	39	2158	2347	156	936	74	887	228	1982	29	46	1895	2407	132	847	80	714
LAULARA	83	1206	61	33	1784	1445	95	980	27	620	96	1359	58	21	1431	1591	75	825	12	462
BAUCAU	9070	8906	1555	535	27310	20778	1821	8645	930	15202	11057	9508	1393	479	24834	23534	1678	8485	832	12742
BAUCAU	1904	3473	466	155	13686	6863	657	4061	497	7606	2191	3807	395	131	12707	7637	610	3953	455	6576
LAGA	2250	812	243	111	2715	3411	233	928	89	1470	2612	811	201	105	2461	3735	206	883	87	1279
QUELICAI	2348	925	350	77	3341	3497	258	988	110	2188	3089	963	347	80	2880	4317	239	1039	88	1676
BAGUIA	1178	498	212	47	2003	1833	91	834	69	1111	1498	591	201	30	1814	2303	72	867	56	836
VEMASE	457	1434	173	70	1794	2270	197	869	69	523	549	1422	142	75	1576	2322	206	778	51	407
VENILALE	933	1764	111	75	3771	2904	385	965	96	2304	1118	1914	107	58	3396	3220	345	965	95	1968
BOBONARO	4109	15229	686	475	17863	21635	1623	7083	834	7187	5165	17175	670	426	15795	24692	1196	7054	761	5528
MALIANA	493	3595	125	100	6292	4655	425	2227	489	2809	655	4146	102	96	5623	5321	343	2180	460	2318
CAILACO	1055	1468	82	38	1504	2607	203	537	26	774	1317	1544	65	36	1339	2943	152	489	22	695
BALIBO	412	3029	97	108	2676	4424	151	1032	55	660	473	3364	90	88	2154	4698	90	941	40	400
ATABAE	715	1676	106	51	2090	2703	245	936	59	695	834	1708	113	47	1795	2925	163	878	45	486
LOLOTOE	277	819	148	85	1602	1249	186	1006	116	374	401	980	162	71	1570	1574	139	1144	110	217
BOBONARO	1157	4642	128	93	3699	5997	413	1345	89	1875	1485	5433	138	88	3314	7231	309	1422	84	1412
COVALIMA	1788	9187	607	294	13880	12677	1083	7543	308	4145	2097	10197	551	239	12481	14054	869	7225	278	3139
FATULULIC	137	230	35	17	367	452	31	161	8	134	188	229	37	13	379	531	29	168	10	108
FATUMEAN	31	669	22	7	704	765	25	531	8	104	29	748	21	7	609	859	24	486	2	43
FOROHEM	220	663	65	42	763	972	47	583	19	132	233	787	62	26	727	1102	33	613	20	67
MAUKATAR	277	959	60	35	1409	1354	126	681	68	511	323	1087	32	31	1278	1537	86	584	75	469
SUAI	637	3334	270	106	6699	4640	486	3412	134	2374	690	3753	260	94	5909	5136	368	3302	100	1800
TILOMAR	126	1172	63	33	1618	1654	77	1023	39	219	147	1266	56	32	1485	1764	78	960	37	147
ZUMALAI	360	2160	92	54	2320	2840	291	1152	32	671										
DILI	2401	15969	1340	843	84608	28732	5254	28543	3661	38971	2121	17325	1065	765	72177	29071	4777	24918	3175	31512
VERACRUZ	393	1794	233	96	12597	3738	1088	3986	557	5744	340	1996	149	121	11164	3733	1018	3528	470	5021
NAINFETO	277	1443	150	101	9700	2635	809	3259	747	4221	237	1600	138	82	8766	2763	756	2936	658	3710
METINARO	60	658	28	54	1317	1133	96	327	74	487	63	677	30	49	1103	1131	60	298	55	378
ATAURO	89	1200	36	14	2269	1584	157	806	49	1012	158	1613	47	17	2007	2113	140	812	57	720
