district	tot_female	_t_male	s_t_male	r_t_male	sr_t_male	srw_t_male	_p_male	s_p_male	r_p_male	sr_p_male	srw_p_male	_t_female	s_t_female	r_t_female	sr_t_female	srw_t_female	_p_female	s_p_female	r_p_female	sr_p_female	srw_p_female
AINARO	24003	1229	11535	284	253	11304	12353	2121	4154	308	5669	1413	12264	279	196	9851	13235	1927	3655	274	4912
AILEU	18275	955	7478	228	143	10695	9259	784	4459	260	4737	1003	7712	250	147	9163	9580	662	4005	224	3804
BAUCAU	47271	9070	8906	1555	535	27310	20778	1821	8645	930	15202	11057	9508	1393	479	24834	23534	1678	8485	832	12742
BOBONARO	39231	4109	15229	686	475	17863	21635	1623	7083	834	7187	5165	17175	670	426	15795	24692	1196	7054	761	5528
COVALIMA	25565	1788	9187	607	294	13880	12677	1083	7543	308	4145	2097	10197	551	239	12481	14054	869	7225	278	3139
DILI	93453	2401	15969	1340	843	84608	28732	5254	28543	3661	38971	2121	17325	1065	765	72177	29071	4777	24918	3175	31512
ERMERA	49111	2746	25639	677	391	20319	30341	1808	8648	517	8458	3375	28724	590	345	16077	33764	1424	7294	404	6225
LAUTEM	26052	6162	2947	1991	537	13215	10702	1010	5315	720	7105	9209	2949	2088	571	11235	14005	764	5290	670	5323
LIQUIÇA	26469	2237	10556	334	189	14066	14232	1118	5824	286	5922	2704	11886	319	158	11402	16036	860	4920	246	4407
MANATUTO	17555	1970	6210	292	158	9480	9415	809	3081	359	4446	2276	6606	288	137	8248	10187	698	2903	233	3534
MANUFAHI	20146	1015	7797	392	170	12079	10253	758	5544	245	4653	1021	8145	340	149	10491	10593	550	5073	194	3736
OECUSSI	26794	13474	2074	1626	273	8528	16422	628	3636	291	4998	15897	1419	2085	251	7142	18282	464	3887	246	3915
VIQUEQUE	29819	4552	8009	762	284	15669	14756	1008	6038	444	7030	5953	9194	721	287	13664	17517	903	5543	403	5453
