DistrictSub-DistrictSex	Donotspeakreadorwrite	Speakonly	Readonly	Speakandreadonly	Speakreadandwrite	Donotspeakreadorwrite	Speakonly	Readonly	Speakandreadonly	Speakreadandwrite
AINARO	11695	3160	3284	195	6271	17321	1288	3501	177	2318	12759	2785	3165	188	5106	17619	1221	3034	201	1928
AINARO	2593	494	974	56	2163	3983	202	1232	65	798	2820	378	986	53	1800	4039	192	1108	63	635
HATU-BUILICO	2514	536	686	26	1040	3774	123	681	20	204	2910	506	603	31	795	4023	102	587	23	110
MAUBISSE	5231	1101	1122	91	1798	7277	315	993	73	685	5652	844	1114	80	1375	7326	248	831	92	568
HATU-UDO	1357	1029	502	22	1270	2287	648	595	19	631	1377	1057	462	24	1136	2231	679	508	23	615
AILEU	9934	1108	3675	143	4639	13979	392	3338	140	1650	10236	917	3452	111	3559	13498	309	3014	120	1334
AILEUVILA	4573	514	1475	70	2476	6167	234	1654	79	974	4620	447	1409	55	1999	5884	206	1508	88	844
LIQUIDOE	1323	221	681	11	588	2011	56	587	16	154	1367	171	638	7	417	1910	37	535	9	109
REMEXIO	2364	212	857	43	924	3330	61	674	32	303	2448	196	838	26	672	3300	49	573	13	245
LAULARA	1674	161	662	19	651	2471	41	423	13	219	1801	103	567	23	471	2404	17	398	10	136
BAUCAU	19063	3708	6323	562	17720	30937	1124	8149	717	6449	21864	3347	5759	528	15773	32260	1143	7716	672	5480
BAUCAU	5653	1332	2361	250	10088	10390	464	4336	463	4031	6382	1278	2098	249	9224	10661	441	4150	454	3525
LAGA	3341	449	824	82	1435	4845	92	711	82	401	3755	348	719	83	1285	4979	109	674	91	337
QUELICAI	3388	603	942	73	2035	5150	159	1056	68	608	4191	585	891	75	1617	5766	191	921	49	432
BAGUIA	1868	247	810	39	974	2902	61	568	36	371	2257	207	791	33	846	3163	65	593	25	288
VEMASE	1740	467	505	41	1175	3182	89	450	17	190	1884	402	420	30	1028	3144	86	399	16	119
VENILALE	3073	610	881	77	2013	4468	259	1028	51	848	3395	527	840	58	1773	4547	251	979	37	779
BOBONARO	19356	3895	4163	418	10530	29558	722	5253	519	2310	22336	3590	4132	402	8771	31610	554	5054	420	1593
MALIANA	3836	1095	1102	180	4392	6524	254	2285	367	1175	4375	1171	996	174	3906	6997	217	2232	329	847
CAILACO	2381	500	410	27	829	3441	66	437	15	188	2707	465	387	16	726	3574	74	483	13	157
BALIBO	3576	579	373	46	1748	5561	37	448	22	254	3999	464	311	29	1366	5612	26	396	12	123
ATABAE	2541	437	653	43	964	3682	141	642	31	142	2821	283	597	53	743	3784	88	520	12	93
LOLOTOE	1209	291	513	52	866	2348	38	463	25	57	1471	254	702	58	699	2591	18	536	14	25
BOBONARO	5813	993	1112	70	1731	8002	186	978	59	494	6963	953	1139	72	1331	9052	131	887	40	348
COVALIMA	10930	2138	3540	182	8966	18944	527	4498	133	1654	12363	1888	3447	206	7661	19652	495	4216	129	1073
FATULULIC	364	97	65	4	256	661	10	81	3	31	424	82	85	13	242	730	10	87	2	17
FATUMEAN	706	44	345	4	334	1249	9	157	4	14	797	47	312	5	253	1293	6	104	2	9
FOROHEM	889	71	391	15	387	1373	19	316	5	40	997	65	409	12	352	1489	23	300	4	19
MAUKATAR	1194	308	273	53	912	2149	33	370	27	161	1380	279	273	58	761	2215	28	357	32	119
SUAI	3986	849	1414	64	4733	7146	246	2508	42	1104	4536	696	1366	74	4034	7386	222	2317	48	733
TILOMAR	1383	182	452	8	987	2389	40	453	27	103	1513	173	429	12	859	2434	33	446	20	53
ZUMALAI	2408	587	600	34	1357	3977	170	613	25	201										
DILI	17891	7253	7141	1218	71658	45375	4142	24017	3019	28608	19278	7011	6611	1094	59459	44645	3665	21589	2636	20918
VERACRUZ	2267	954	937	140	10815	6137	834	3674	426	4042	2443	1024	799	140	9364	6236	752	3264	361	3157
NAINFETO	1544	979	1044	210	7894	4713	588	3035	620	2715	1783	998	968	195	6879	4895	489	2850	586	2003
METINARO	972	173	201	51	720	1629	15	295	38	140	1017	154	155	50	546	1512	29	269	30	82
ATAURO	1418	227	514	18	1431	2673	70	522	37	306	1953	174	538	24	1153	3091	62	515	20	154
DOMALEIXO	6746	3387	2486	522	35338	19945	1678	11898	1519	13439	6873	3146	2325	439	28396	18763	1440	10388	1345	9243
CRISTOREI	4944	1533	1959	277	15460	10278	957	4593	379	7966	5209	1515	1826	246	13121	10148	893	4303	294	6279
ERMERA	29571	3122	6251	389	10439	39499	876	5448	320	3629	33427	2417	5585	300	7382	41103	738	4393	222	2655
RAILACO	2255	417	454	23	1328	3330	95	549	25	478	2402	349	457	18	1000	3277	74	481	15	379
ERMERA	6986	898	1991	121	4405	10138	354	2173	104	1632	8146	680	1777	88	3330	10675	317	1714	77	1238
LETEFOHO	5743	518	1187	81	1581	7400	160	950	58	542	6367	330	983	58	1128	7549	130	744	35	408
ATSABE	4926	498	493	98	1145	5977	107	591	97	388	5770	385	474	90	746	6521	97	520	68	259
HATOLIA	9661	791	2126	66	1980	12654	160	1185	36	589	10742	673	1894	46	1178	13081	120	934	27	371
LIQUIÇA	13948	1847	3451	179	7957	21040	462	3952	175	1753	15772	1567	3098	133	5899	21289	412	3412	141	1215
BAZARTETE	4713	722	1584	66	3290	7550	205	1834	56	730	5370	595	1462	47	2482	7569	180	1643	51	513
LIQUIÇA	4213	596	1172	82	2989	6621	142	1468	78	743	4801	533	1062	58	2333	6746	128	1317	63	533
