DistrictSub-District	tot_pop	tot_female	tot_male	_b_male	s_b_male	r_b_male	sr_b_male	srw_b_male	_e_male	s_e_male	r_e_male	sr_e_male	srw_e_male	_b_female	s_b_female	r_b_female	sr_b_female	srw_b_female	_e_female	s_e_female	r_e_female	sr_e_female	srw_e_female
AILEUVILA	17638	8530	9108	4573	514	1475	70	2476	6167	234	1654	79	974	4620	447	1409	55	1999	5884	206	1508	88	844
AINARO	12317	6037	6280	2593	494	974	56	2163	3983	202	1232	65	798	2820	378	986	53	1800	4039	192	1108	63	635
ALAS	6029	2936	3093	1523	131	566	6	867	2318	17	608	9	141	1593	78	572	4	689	2242	15	580	3	96
ATABAE	9135	4497	4638	2541	437	653	43	964	3682	141	642	31	142	2821	283	597	53	743	3784	88	520	12	93
ATAURO	7450	3842	3608	1418	227	514	18	1431	2673	70	522	37	306	1953	174	538	24	1153	3091	62	515	20	154
ATSABE	14625	7465	7160	4926	498	493	98	1145	5977	107	591	97	388	5770	385	474	90	746	6521	97	520	68	259
BAGUIA	8072	4134	3938	1868	247	810	39	974	2902	61	568	36	371	2257	207	791	33	846	3163	65	593	25	288
BALIBO	12491	6169	6322	3576	579	373	46	1748	5561	37	448	22	254	3999	464	311	29	1366	5612	26	396	12	123
BARIQUE/NATARBORA	4214	1969	2245	702	178	303	25	1037	1347	33	557	56	252	881	117	265	15	691	1364	19	403	34	149
BAUCAU	38915	19231	19684	5653	1332	2361	250	10088	10390	464	4336	463	4031	6382	1278	2098	249	9224	10661	441	4150	454	3525
BAZARTETE	20331	9956	10375	4713	722	1584	66	3290	7550	205	1834	56	730	5370	595	1462	47	2482	7569	180	1643	51	513
BOBONARO	20177	10458	9719	5813	993	1112	70	1731	8002	186	978	59	494	6963	953	1139	72	1331	9052	131	887	40	348
CAILACO	8448	4301	4147	2381	500	410	27	829	3441	66	437	15	188	2707	465	387	16	726	3574	74	483	13	157
CRISTOREI	46090	21917	24173	4944	1533	1959	277	15460	10278	957	4593	379	7966	5209	1515	1826	246	13121	10148	893	4303	294	6279
DOMALEIXO	89658	41179	48479	6746	3387	2486	522	35338	19945	1678	11898	1519	13439	6873	3146	2325	439	28396	18763	1440	10388	1345	9243
ERMERA	28422	14021	14401	6986	898	1991	121	4405	10138	354	2173	104	1632	8146	680	1777	88	3330	10675	317	1714	77	1238
FATUBERLIU	6014	2896	3118	1235	202	466	31	1184	2132	69	612	45	260	1306	145	453	33	959	2027	40	608	22	199
FATULULIC	1632	846	786	364	97	65	4	256	661	10	81	3	31	424	82	85	13	242	730	10	87	2	17
FATUMEAN	2847	1414	1433	706	44	345	4	334	1249	9	157	4	14	797	47	312	5	253	1293	6	104	2	9
FOROHEM	3588	1835	1753	889	71	391	15	387	1373	19	316	5	40	997	65	409	12	352	1489	23	300	4	19
HATOLIA	29157	14533	14624	9661	791	2126	66	1980	12654	160	1185	36	589	10742	673	1894	46	1178	13081	120	934	27	371
HATU-BUILICO	9647	4845	4802	2514	536	686	26	1040	3774	123	681	20	204	2910	506	603	31	795	4023	102	587	23	110
HATU-UDO	8236	4056	4180	1357	1029	502	22	1270	2287	648	595	19	631	1377	1057	462	24	1136	2231	679	508	23	615
ILIOMAR	5981	3152	2829	1498	230	375	14	712	2377	47	236	24	145	2107	130	408	15	492	2806	42	224	14	66
LACLO	6356	3129	3227	2062	207	284	26	648	2898	53	154	13	109	2140	177	263	27	522	2858	48	144	15	64
LACLUBAR	9911	5010	4901	2960	394	496	35	1016	3895	78	493	32	403	3435	278	494	20	783	4163	61	455	29	302
LACLUTA	5011	2481	2530	1306	193	353	17	661	1985	29	336	9	171	1595	173	277	11	425	2090	26	248	7	110
