DistrictSub-DistrictSex	Donotspeakreadorwrite	Speakonly	Readonly	Speakandreadonly	Speakreadandwrite	Donotspeakreadorwrite	Speakonly	Readonly	Speakandreadonly	Speakreadandwrite
AINARO	2642	23799	563	449	21155	25588	4048	7809	582	10581
Male	1229	11535	284	253	11304	12353	2121	4154	308	5669
Female	1413	12264	279	196	9851	13235	1927	3655	274	4912
AINARO	313	4886	140	160	6818	5544	686	2576	244	3267
Male	136	2376	80	92	3596	2677	396	1342	127	1738
Female	177	2510	60	68	3222	2867	290	1234	117	1529
HATU-BUILICO	625	5131	142	53	3696	6101	380	1840	78	1248
Male	277	2401	73	36	2015	2856	216	986	40	704
Female	348	2730	69	17	1681	3245	164	854	38	544
MAUBISSE	1504	9924	211	148	6621	10929	1352	2296	213	3618
Male	721	4885	94	79	3564	5326	718	1228	115	1956
Female	783	5039	117	69	3057	5603	634	1068	98	1662
HATU-UDO	200	3858	70	88	4020	3014	1630	1097	47	2448
Male	95	1873	37	46	2129	1494	791	598	26	1271
Female	105	1985	33	42	1891	1520	839	499	21	1177
AILEU	1958	15190	478	290	19858	18839	1446	8464	484	8541
Male	955	7478	228	143	10695	9259	784	4459	260	4737
Female	1003	7712	250	147	9163	9580	662	4005	224	3804
AILEUVILA	804	6776	203	125	9730	8315	768	3471	270	4814
Male	401	3350	94	59	5204	4107	399	1824	147	2631
Female	403	3426	109	66	4526	4208	369	1647	123	2183
LIQUIDOE	524	1916	98	26	2860	2734	220	1405	21	1044
Male	248	971	44	12	1549	1360	134	719	12	599
Female	276	945	54	14	1311	1374	86	686	9	445
REMEXIO	451	3933	58	85	4053	4754	288	1783	154	1601
Male	223	1951	29	39	2158	2347	156	936	74	887
Female	228	1982	29	46	1895	2407	132	847	80	714
LAULARA	179	2565	119	54	3215	3036	170	1805	39	1082
Male	83	1206	61	33	1784	1445	95	980	27	620
Female	96	1359	58	21	1431	1591	75	825	12	462
BAUCAU	20127	18414	2948	1014	52144	44312	3499	17130	1762	27944
Male	9070	8906	1555	535	27310	20778	1821	8645	930	15202
Female	11057	9508	1393	479	24834	23534	1678	8485	832	12742
BAUCAU	4095	7280	861	286	26393	14500	1267	8014	952	14182
Male	1904	3473	466	155	13686	6863	657	4061	497	7606
Female	2191	3807	395	131	12707	7637	610	3953	455	6576
LAGA	4862	1623	444	216	5176	7146	439	1811	176	2749
Male	2250	812	243	111	2715	3411	233	928	89	1470
Female	2612	811	201	105	2461	3735	206	883	87	1279
QUELICAI	5437	1888	697	157	6221	7814	497	2027	198	3864
Male	2348	925	350	77	3341	3497	258	988	110	2188
Female	3089	963	347	80	2880	4317	239	1039	88	1676
BAGUIA	2676	1089	413	77	3817	4136	163	1701	125	1947
Male	1178	498	212	47	2003	1833	91	834	69	1111
Female	1498	591	201	30	1814	2303	72	867	56	836
VEMASE	1006	2856	315	145	3370	4592	403	1647	120	930
Male	457	1434	173	70	1794	2270	197	869	69	523
